text,label
Extract the specific results from this feasibility study,EXTRACTION
Convert this list of items into a components list,EXTRACTION
Identify the main themes in this sociological report,EXTRACTION
Extract the specific values from this compliance report,EXTRACTION
Convert this list of ingredients into a nutritional chart,EXTRACTION
Identify the different parts of this vehicle from the technical manual,EXTRACTION
Extract the specific data from this field observation log,EXTRACTION
Convert this list of observations into a case study,EXTRACTION
Identify the key elements in this business plan,EXTRACTION
Extract the specific details from this grant proposal,EXTRACTION
Convert this list of items into a resource inventory,EXTRACTION
Identify the different categories in this taxonomic report,EXTRACTION
Extract the specific data from this logging report,EXTRACTION
Calculate 455 * 89 / 3,UTILITY
Convert 50 miles to kilometers,UTILITY
What is 20% of 850?,UTILITY
Format this string to be uppercase,UTILITY
Count the number of words in this paragraph,UTILITY
What is the square root of 144?,UTILITY
Convert this timestamp to PST,UTILITY
Generate a random UUID,UTILITY
Translate 'hello world' to French,UTILITY
"Sort this alphabetical list: zebra, apple, mango",UTILITY
Reverse this string: 'Antigravity',UTILITY
Find the GCD of 48 and 180,UTILITY
What is the hexadecimal value of 255?,UTILITY
Convert 100 Celsius to Fahrenheit,UTILITY
What is the binary representation of 42?,UTILITY
Capitalize the first letter of each word in this sentence,UTILITY
Find the character at index 5 of this string,UTILITY
What is the absolute value of -50?,UTILITY
Convert 500 grams to ounces,UTILITY
What is the area of a circle with radius 5?,UTILITY
"Find the average of the following numbers: 1, 2, 3, 4, 5",UTILITY
Identify the type of this variable: '123',UTILITY
What is the current Unix timestamp?,UTILITY
Check if this string is a valid email address,UTILITY
"Find the minimum value among: 10, 20, 5, 30",UTILITY
Generate a random number between 1 and 100,UTILITY
Convert 1 liter to gallons,UTILITY
What is the value of pi to 5 decimal places?,UTILITY
Remove all whitespace from this string,UTILITY
Check if this number is a prime number: 17,UTILITY
"Sort this numeric list in ascending order: 5, 2, 8, 1, 9",UTILITY
Translate 'thank you' to Spanish,UTILITY
"Find the index of 'apple' in this list: ['banana', 'apple', 'cherry']",UTILITY
What is the power of 2 to the 10th?,UTILITY
Convert 24 hours to seconds,UTILITY
Find the longest word in this sentence,UTILITY
Check if this year is a leap year: 2024,UTILITY
Convert this JSON string into a Python object,UTILITY
Find the sum of all even numbers from 1 to 100,UTILITY
Translate 'goodbye' to German,UTILITY
Identify the data type of the value: True,UTILITY
What is the result of 15 modulus 4?,UTILITY
Convert 10 kilometers per hour to miles per hour,UTILITY
Find the number of occurrences of 'a' in this string,UTILITY
Check if this string starts with 'Hello',UTILITY
Generate a random password with 10 characters,UTILITY
Convert 500 dollars to euros using a static rate,UTILITY
What is the perimeter of a rectangle with length 10 and width 5?,UTILITY
"Find the median of the following list: 10, 20, 30",UTILITY
Check if this string is all numeric,UTILITY
Convert 1 megabyte to kilobytes,UTILITY
Find the smallest prime number greater than 100,UTILITY
Translate 'please' to Italian,UTILITY
Identify the file extension of: 'document.pdf',UTILITY
What is the value of e?,UTILITY
Check if this string is a palindrome: 'level',UTILITY
Convert 1000 milliseconds to seconds,UTILITY
Find the root of the equation x^2 - 4 = 0,UTILITY
Generate a random hex color code,UTILITY
Convert 1 bit to bytes,UTILITY
Find the character code of 'A',UTILITY
What is the sine of 90 degrees?,UTILITY
Check if this date is a weekend: 2024-04-20,UTILITY
Convert 5 pounds to kilograms,UTILITY
What is the volume of a cube with side 3?,UTILITY
"Find the standard deviation of the following set: 10, 20, 30",UTILITY
Identify the domain of this URL: 'https://example.com/path',UTILITY
What is the result of bitwise AND of 5 and 3?,UTILITY
Convert 1 minute to milliseconds,UTILITY
Find the first prime number,UTILITY
Translate 'welcome' to Japanese,UTILITY
Check if this number is a perfect square: 25,UTILITY
"Sort this numeric list in descending order: 5, 2, 8, 1, 9",UTILITY
What is the value of 5 factorial?,UTILITY
Convert 1000 meters to feet,UTILITY
Find the number of words in this text file,UTILITY
"Check if this point (1, 2) is inside a circle with center (0, 0) and radius 3",UTILITY
Convert this decimal to a binary number,UTILITY
Find the sum of all elements in this matrix,UTILITY
Translate 'yes' to Chinese,UTILITY
Identify the class of this object,UTILITY
What is the current time in London?,UTILITY
Check if this email is already in the list,UTILITY
Find the maximum value of a specific column in this CSV file,UTILITY
Generate a random sample from this population,UTILITY
Convert 1 gigabyte to megabytes,UTILITY
What is the base 2 logarithm of 1024?,UTILITY
Check if this string contains only spaces,UTILITY
Convert 1 cubic meter to liters,UTILITY
Find the second largest number in this list,UTILITY
Translate 'no' to Korean,UTILITY
Identify the type of this encoding,UTILITY
What is the time difference between UTC and PST?,UTILITY
Check if this file is readable,UTILITY
Find the sum of the squares of the first 10 integers,UTILITY
Generate a random string of 5 characters,UTILITY
Convert 1 year to hours,UTILITY
Find the most common character in this string,UTILITY
Translate 'friend' to French,UTILITY
Check if this number is odd,UTILITY
What is 10 raised to the power of 5?,UTILITY
Convert 1 gallon to liters,UTILITY
Find the average of a list of floats,UTILITY
Check if this string is a valid URL,UTILITY
Translate 'help' to Russian,UTILITY
What is the 5th element in this list?,UTILITY
Convert 1 centimeter to inches,UTILITY
Find the number of unique characters in this string,UTILITY
Check if this date is in the future,UTILITY
Translate 'beautiful' to Italian,UTILITY
What is the tangent of 45 degrees?,UTILITY
Convert 1 ton to pounds,UTILITY
Find the product of all elements in this list,UTILITY
Check if this string is empty,UTILITY
Translate 'school' to German,UTILITY
What is the result of 10 / 3?,UTILITY
Convert 1 mile to feet,UTILITY
Find the smallest value in this list,UTILITY
Check if this string is in lowercase,UTILITY
Translate 'life' to Spanish,UTILITY
What is the value of 0!,UTILITY
Convert 1 yard to meters,UTILITY
Find the number of vowels in this string,UTILITY
Check if this point is on the line y = 2x,UTILITY
Translate 'world' to Portuguese,UTILITY
What is the 100th prime number?,UTILITY
Convert 1 knot to miles per hour,UTILITY
Find the sum of all digits in this number,UTILITY
Check if this string ends with a period,UTILITY
Translate 'love' to Greek,UTILITY
What is the cosine of 0 degrees?,UTILITY
Convert 1 calorie to joules,UTILITY
Find the median of a large dataset,UTILITY
Check if this string is all uppercase,UTILITY
Translate 'family' to Arabic,UTILITY
What is the result of 2^3 + 4^2?,UTILITY
Convert 1 atmosphere to pascals,UTILITY
Find the range of this list of numbers,UTILITY
Check if this string contains a specific substring,UTILITY
Translate 'work' to Turkish,UTILITY
What is the 3rd root of 27?,UTILITY
Convert 1 hectare to acres,UTILITY
Find the count of negative numbers in this list,UTILITY
Check if this string is a valid file path,UTILITY
Translate 'peace' to Hebrew,UTILITY
What is the value of ln(1)?,UTILITY
Convert 1 foot to centimeters,UTILITY
Find the index of the first occurrence of a character,UTILITY
Check if this number is a multiple of 5,UTILITY
Translate 'music' to Hindi,UTILITY
What is the result of bitwise OR of 10 and 12?,UTILITY
Convert 1 hour to minutes,UTILITY
Find the last element in this list,UTILITY
Check if this string is a valid JSON,UTILITY
Translate 'happy' to Vietnamese,UTILITY
What is the 7th Fibonacci number?,UTILITY
Convert 1 day to hours,UTILITY
Find the middle character of a string,UTILITY
Check if this number is positive,UTILITY
Translate 'sad' to Thai,UTILITY
What is the area of a rectangle with length 12 and width 8?,UTILITY
Convert 1 meter to centimeters,UTILITY
Find the sum of the first 100 natural numbers,UTILITY
Check if this string contains digits,UTILITY
Translate 'funny' to Dutch,UTILITY
What is the square of 25?,UTILITY
Convert 1 kilogram to grams,UTILITY
Find the variance of a list of numbers,UTILITY
Check if this string is a valid hostname,UTILITY
Translate 'boring' to Swedish,UTILITY
What is the result of 100 / 0.5?,UTILITY
Convert 1 inch to millimeters,UTILITY
Find the smallest prime factor of a number,UTILITY
Check if this string has no spaces,UTILITY
Translate 'interesting' to Danish,UTILITY
What is the log base 10 of 1000?,UTILITY
Convert 1 millimeter to inches,UTILITY
Find the absolute difference between two numbers,UTILITY
Check if this character is a vowel,UTILITY
Translate 'angry' to Norwegian,UTILITY
What is the value of 2^8?,UTILITY
Convert 1 gram to milligrams,UTILITY
Find the product of the first 5 prime numbers,UTILITY
Check if this string has at least one capital letter,UTILITY
Translate 'fast' to Finnish,UTILITY
What is the floor of 10.7?,UTILITY
Convert 1 milliliter to liters,UTILITY
Find the ceiling of 10.1?,UTILITY
Check if this character is a digit,UTILITY
Translate 'slow' to Polish,UTILITY
What is the result of (5+3)*2?,UTILITY
Convert 1 centiliter to liters,UTILITY
Find the bitwise XOR of 15 and 7,UTILITY
Check if this string is a valid HEX color code,UTILITY
Translate 'hot' to Czech,UTILITY
What is the log base 10 of 1?,UTILITY
Convert 1 kiloliter to liters,UTILITY
Find the sum of the first 50 odd numbers,UTILITY
Check if this character is a special character,UTILITY
Translate 'cold' to Hungarian,UTILITY
What is the value of 10^0?,UTILITY
Convert 1 deciliter to liters,UTILITY
Find the first 10 prime numbers,UTILITY
Check if this character is a punctuation mark,UTILITY
"I need you to browse the web, find the top 5 news articles, and summarize them",AGENTS
"Use the calculator tool to find the exact tip amount, then email it to john",AGENTS
Search my Google Drive for the Q3 report and extract the revenue figures,AGENTS
Plan a 3-day itinerary for Tokyo and book the flights using the travel API,AGENTS
"Check the weather in London and if it's raining, send a slack message to the team",AGENTS
Run a python interpreter and execute this code to plot the graph,AGENTS
"Orchestrate a workflow to download the dataset, clean it, and train a model",AGENTS
Use your terminal to find all files larger than 1GB and list them,AGENTS
"Scrape this website, format the tables, and save it to a PostgreSQL database",AGENTS
Analyze this repo using grep and find where the API key is hardcoded,AGENTS
Monitor this server and send an alert if CPU usage exceeds 90%,AGENTS
Use the calendar API to schedule a meeting with the team next Tuesday,AGENTS
Automate the process of generating a weekly report from these data files,AGENTS
Search for the latest research papers on AI and summarize the key findings,AGENTS
Use the shell to list all the processes running on my machine,AGENTS
Configure a new AWS instance and deploy this web application,AGENTS
Orchestrate a multi-agent system to solve a complex problem,AGENTS
Use a web crawler to find all the links on this website,AGENTS
Analyze a large dataset using SQL and generate a summary report,AGENTS
Automate the process of sending personalized emails to a list of contacts,AGENTS
Use a translation API to translate this document into 5 different languages,AGENTS
Monitor a website for changes and send a notification when an update occurs,AGENTS
Use a terminal search tool to find a specific file on my hard drive,AGENTS
Automate the process of creating a social media post from a blog article,AGENTS
Search for available flights to a specific destination and book the cheapest one,AGENTS
Use an image recognition API to identify the objects in these photos,AGENTS
"Orchestrate a workflow to collect, process, and analyze a stream of data",AGENTS
Use a shell script to automate a series of system maintenance tasks,AGENTS
Search for a specific product on an e-commerce site and find the best price,AGENTS
Automate the process of generating a monthly invoice from a set of records,AGENTS
Use a natural language processing API to analyze the sentiment of these reviews,AGENTS
Monitor a news feed for specific keywords and send an alert when they appear,AGENTS
Use a command-line tool to perform a security audit of a system,AGENTS
Automate the process of creating a presentation from a set of notes,AGENTS
Search for a specific piece of information on Wikipedia and summarize it,AGENTS
Use a mapping API to find the best route between two locations,AGENTS
"Orchestrate a workflow to capture, edit, and publish a video",AGENTS
Use a shell command to check the disk space usage on my server,AGENTS
Search for a specific person on social media and find their contact information,AGENTS
Automate the process of updating a database from an external data source,AGENTS
Use a knowledge graph API to find the relationships between different entities,AGENTS
Monitor a sensor for specific threshold values and trigger an action,AGENTS
Use a terminal command to find the IP address of a specific website,AGENTS
Automate the process of generating a daily executive summary,AGENTS
Search for a specific set of images on the web and download them,AGENTS
Use a code generation API to write a boilerplate for a new project,AGENTS
"Orchestrate a workflow to test, build, and deploy a software update",AGENTS
Use a shell script to automate a system backup process,AGENTS
Search for a specific financial indicator and plot its trend over time,AGENTS
Automate the process of creating a customer support ticket from an email,AGENTS
Use a voice synthesis API to generate an audio version of this text,AGENTS
Monitor a data feed for anomalies and send a report to the administrator,AGENTS
Use a command-line tool to convert a file from one format to another,AGENTS
Automate the process of scheduling a social media campaign,AGENTS
Search for the latest news on a specific topic and send a daily summary,AGENTS
Use a translation API to translate a website in real-time,AGENTS
Orchestrate a multi-step task involving multiple different tools,AGENTS
Use a shell command to list the files in a specific directory,AGENTS
Search for a specific app on an app store and find its ratings,AGENTS
Automate the process of generating a report from a web survey,AGENTS
Use a sentiment analysis API to monitor a social media stream,AGENTS
Monitor a system for specific events and log them into a database,AGENTS
Use a terminal search command to find a specific string in a file,AGENTS
Automate the process of creating a summary of a YouTube video from its transcript,AGENTS
Search for a specific type of file on the web and list the results,AGENTS
Use a language generation API to write a different version of a text,AGENTS
Orchestrate a workflow to manage a large collection of digital assets,AGENTS
Use a shell script to automate a recurring system task,AGENTS
Search for a specific scientific finding and provide a simplified explanation,AGENTS
Automate the process of generating a weekly summary of a team's progress,AGENTS
Use an authentication API to manage user login and registration,AGENTS
Monitor an online forum for specific questions and provide a helpful answer,AGENTS
Use a command-line tool to perform a data cleaning task,AGENTS
Automate the process of creating a newsletter from a set of articles,AGENTS
Search for a specific historical fact and provide the context,AGENTS
Use a mapping API to provide real-time navigation and traffic updates,AGENTS
Orchestrate a workflow to automate a complex business process,AGENTS
Use a shell command to find the size of a specific file,AGENTS
Search for a specific movie on a streaming service and check its availability,AGENTS
Automate the process of updating a website with fresh content,AGENTS
Use a machine learning API to classify a large set of images,AGENTS
Monitor a social media stream for specific hashtags and send a notification,AGENTS
Use a terminal command to find the owner of a specific file,AGENTS
Automate the process of generating a report from a set of log files,AGENTS
Search for a specific type of information on a knowledge base,AGENTS
Use a code analysis tool to find potential bugs in a script,AGENTS
Orchestrate a workflow to manage a cloud-based infrastructure,AGENTS
Use a shell script to automate a data migration process,AGENTS
Search for a specific law or regulation and provide a summary,AGENTS
Automate the process of generating a daily weather forecast,AGENTS
Use a speech-to-text API to transcribe an audio recording,AGENTS
Monitor a system for potential security threats and send an alert,AGENTS
Use a command-line tool to format a source code file,AGENTS
Automate the process of creating a summary of a news feed,AGENTS
Search for a specific image on a stock photo site,AGENTS
Use a summarization API to condense a long document,AGENTS
Orchestrate a workflow to test and deploy a mobile application,AGENTS
Use a shell script to automate a series of repetitive tasks,AGENTS
Search for a specific stock and find its current price,AGENTS
Automate the process of generating a monthly performance report,AGENTS
Use a translation API to translate a document in real-time,AGENTS
Monitor a platform for specific user activity and trigger an action,AGENTS
Use a terminal search command to find all occurrences of a word,AGENTS
Automate the process of creating a summary of a long conversation,AGENTS
Search for a specific type of data on a public repository,AGENTS
Use an API to interact with a specific third-party service,AGENTS
Orchestrate a complex task involving multiple steps and conditions,AGENTS
Use a shell script to manage a system's configuration,AGENTS
Search for a specific book on an online library and check its availability,AGENTS
Automate the process of creating a report from a digital survey,AGENTS
Use a natural language understanding API to extract meaning from text,AGENTS
Monitor a sensor for specific conditions and send an alert,AGENTS
Use a terminal command to check the status of a network connection,AGENTS
Automate the process of generating a daily summary of system logs,AGENTS
Search for a specific set of documents on a server,AGENTS
Use a code generation API to create a prototype of an application,AGENTS
Orchestrate a workflow to manage a software development lifecycle,AGENTS
Use a shell script to automate a series of installation steps,AGENTS
Search for a specific dataset and provide a summary of its contents,AGENTS
Automate the process of generating a weekly report from a set of metrics,AGENTS
Use an authentication service to secure a web application,AGENTS
Monitor a social media platform for brand mentions and send a alert,AGENTS
Use a command-line tool to perform a statistical analysis,AGENTS
Automate the process of creating a presentation from a set of slides,AGENTS
Search for a specific historical event and provide a detailed timeline,AGENTS
Use a mapping service to find the points of interest in a specific area,AGENTS
Orchestrate a workflow to automate a series of marketing tasks,AGENTS
Use a shell command to check the status of a specific service,AGENTS
Search for a specific product and find its reviews and ratings,AGENTS
Automate the process of updating a database with information from a web form,AGENTS
Use a machine learning model to predict a specific outcome from a dataset,AGENTS
Monitor an online feed for specific keywords and filter the results,AGENTS
Use a terminal command to check the integrity of a file,AGENTS
Automate the process of generating a report from a set of analytical results,AGENTS
Search for a specific piece of information in a massive document,AGENTS
Use a code linting tool to improve the quality of a script,AGENTS
Orchestrate a workflow to manage a distributed system,AGENTS
Use a shell script to automate a complex system update,AGENTS
Search for a specific legal case and summarize the judgment,AGENTS
Automate the process of generating a daily news summary,AGENTS
Use a voice recognition API to perform a specific task,AGENTS
Monitor a system for specific error patterns and send a report,AGENTS
Use a command-line tool to optimize a file for performance,AGENTS
Automate the process of creating a summary of a research paper,AGENTS
Search for a specific image on the internet and identify its source,AGENTS
Use a language translation service to translate a conversation in real-time,AGENTS
Orchestrate a multi-step workflow to process a batch of files,AGENTS
Use a shell script to automate a periodic system check,AGENTS
Search for a specific astronomical event and provide a schedule,AGENTS
Automate the process of generating a monthly summary of a project,AGENTS
Use an API to fetch data from a specific online database,AGENTS
Monitor a platform for specific changes and report them,AGENTS
Use a terminal command to find the processes consuming the most resources,AGENTS
Automate the process of creating a summary of a multi-party meeting,AGENTS
Search for a specific type of resource on a shared drive,AGENTS
Use an agentic workflow to plan and execute a series of actions,AGENTS
Orchestrate a task that involves both automated and human steps,AGENTS
Use a shell script to automate the management of a system's logs,AGENTS
Search for a specific scientific concept and provide various explanations,AGENTS
Automate the process of generating a report from a set of field observations,AGENTS
Use a natural language processing model to summarize a collection of articles,AGENTS
Monitor a system for specific performance metrics and adjust the parameters,AGENTS
Use a command-line tool to perform a specific data transformation,AGENTS
Automate the process of creating a newsletter from a collection of blog posts,AGENTS
Search for a specific cultural event and provide its historical background,AGENTS
Use a mapping API to find the most efficient route for a delivery service,AGENTS
Orchestrate a workflow to automate the management of a cloud platform,AGENTS
Use a shell command to check the status of a specific network interface,AGENTS
Search for a specific type of information in an online archive,AGENTS
Automate the process of updating a system's documentation from a set of notes,AGENTS
Use a machine learning algorithm to group a dataset into different clusters,AGENTS
Monitor an online feed for specific trends and send a comprehensive report,AGENTS
Use a terminal command to check the security permissions of a specific file,AGENTS
Automate the process of generating a daily summary of a team's activity,AGENTS
Search for a specific dataset and provide a visualization of its contents,AGENTS
Use a code refactoring tool to improve the structure of a script,AGENTS
Orchestrate a workflow to manage a microservices-based application,AGENTS
Use a shell script to automate a series of data processing steps,AGENTS
Search for a specific research finding and provide its impact on the field,AGENTS
Automate the process of generating a report from a set of survey responses,AGENTS
Use a natural language processing API to extract entities from an unstructured text,AGENTS
Monitor an online platform for brand sentiment and send a daily report,AGENTS
Use a command-line tool to perform a complex file manipulation task,AGENTS
Automate the process of creating a summary of a long research document,AGENTS
Search for a specific image in a large database using an image search API,AGENTS
Use a language translation API to translate a technical document in real-time,AGENTS
Orchestrate a complex multi-tool workflow to solve a specific problem,AGENTS
Use a shell script to manage the lifecycle of a set of system processes,AGENTS
